Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2015","YR2015","4.06086672473866"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2016","YR2016","2.91515598595787"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2017","YR2017","2.89604207865007"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2018","YR2018","2.39541124478878"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2019","YR2019","1.96117850841711"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2020","YR2020","-10.9400706350371"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2021","YR2021","6.68314420473001"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2022","YR2022","6.37031712129601"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2023","YR2023","2.46085796805582"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Spain","ESP","2024","YR2024","3.45525405630191"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2013","YR2013","-0.0302325600539604"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2014","YR2014","1.61261001294011"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2015","YR2015","2.12060523860846"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2016","YR2016","2.42428572955482"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2017","YR2017","2.78154619309936"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2018","YR2018","2.2587403735731"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2019","YR2019","2.30009157916757"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2020","YR2020","-3.86795333823223"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2021","YR2021","6.2768306708326"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2022","YR2022","5.00723455159611"
GDP growth (annual %),"NY.GDP.MKTP.KD.ZG","Netherlands","NLD","2023","YR2023","-0.598096167209832"
