Country.Name,Country.Code,Time,ed_attain_low_sec,gini_index,labor_adv_edu,edu_exp_public,gdp_per_capita,cancellazioni
United Kingdom,GBR,2019,NA,32.8,84.573,97.8219985961914,50064.9605582187,7097
Germany,DEU,2021,NA,33.6,73.013,90.5738906860352,62530.7653199239,3159
Austria,AUT,2013,NA,30.8,77.013,95.4508590698242,47519.8522796571,413
Austria,AUT,2022,NA,30.9,79.946,92.1629409790039,72065.4974270106,789
Austria,AUT,2023,NA,31.2,79.741,NA,73544.6567230487,1024
Brazil,BRA,2024,NA,50.3,82.268,NA,22338.4765640635,1171
Switzerland,CHE,2013,NA,32.5,81.296,90.9665985107422,61656.4661708516,2427
United Kingdom,GBR,2022,NA,NA,84.478,NA,59021.5721805914,4377
United Kingdom,GBR,2023,NA,NA,85.066,NA,59911.3467663209,4377
United Kingdom,GBR,2024,NA,NA,85.351,NA,62009.4907765366,4696
Spain,ESP,2024,NA,NA,78.325,NA,57965.2948138837,5588
Netherlands,NLD,2024,NA,NA,79.624,NA,86173.6290841738,2311
Germany,DEU,2024,NA,NA,73.112,NA,73551.9347696836,5393
France,FRA,2024,NA,NA,77.4,NA,62556.91810454,3625
Austria,AUT,2024,NA,NA,79.589,NA,73911.439663136,1108
Belgium,BEL,2024,NA,NA,75.264,NA,73514.4831045258,2117
Ireland,IRL,2024,NA,NA,82.576,NA,133437.470117019,739
