DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2016,12707.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2017,12755.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2018,12891.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2019,12992.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2020,12929.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2021,13363.2,bd,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2022,13644.9,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2023,13752.6,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,France,2024,13872.7,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2013,9171.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2014,9219.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2015,9254.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2016,9388.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2017,9509.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2018,9492.7,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2019,9565.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2020,9281.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2021,9290.4,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2022,9528.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2023,9740.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Italy,2024,9895.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2013,13594.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2014,13897.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2015,14122.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2016,14326.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2017,14556.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2018,14721.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,United Kingdom,2019,14910.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2013,943.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2014,1032.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2015,1150.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2016,1349.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2017,1382.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2018,1496.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2019,1513.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2020,1341.9,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2021,1290.9,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2022,1421.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2023,1492.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2024,1426.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2013,331.3,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2014,353.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2015,348.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2016,369.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2017,395.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2018,425.2,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2019,462.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2020,428.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2021,402.8,bd,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2022,444.6,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2023,444.6,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2024,476.4,d,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2013,2630.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2014,2796.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2015,2944.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2016,3211.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Males,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2017,3353.4,,
